Request Number,Date Opened,Request,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,address_norm,date_only,new_event,event_id,event_date,event_seq,fine_event,first_event
261679,2019-10-19,Trash - Curbside/Alley Missed Pickup,Trash was not picked on Friday 10/18/2019,"1008 Esturbridge Ct, Nashville, TN 37013, United States",37013,RED RIVER,3502,33.0,1792935.39920208,636512.430292504,1008 ESTURBRIDGE CT,2019-10-19,True,2,2019-10-19,2,200,True
90868,2018-08-16,Trash - Curbside/Alley Missed Pickup,Missed/trash again picked up next door already. Thursday.,1009 Massman Dr,37217,RED RIVER,1401,13.0,1759435.48616851,657009.728927792,1009 MASSMAN DR,2018-08-16,True,2,2018-08-16,2,200,True
207649,2019-06-28,Trash - Curbside/Alley Missed Pickup,MISSED...HOUSE IS AT THE DEAD END,"1009 Rodney Dr, Nashville, TN 37205, United States",37205,RED RIVER,1301,23.0,1700954.60076738,653096.000443263,1009 RODNEY DR,2019-06-28,True,2,2019-06-28,2,200,True
218438,2019-07-22,Trash - Curbside/Alley Missed Pickup,miss,"1009 Trevino Pl, Antioch, Tennessee, 37013",37013,RED RIVER,3505,29.0,1785982.44088414,636827.308094045,1009 TREVINO PL,2019-07-22,True,2,2019-07-22,2,200,True
221882,2019-07-29,Trash - Curbside/Alley Missed Pickup,MISSED AGAIN,"1009 Trevino Pl, Antioch, Tennessee, 37013",37013,RED RIVER,3505,29.0,1785982.44088414,636827.308094045,1009 TREVINO PL,2019-07-29,True,3,2019-07-29,3,200,True
233387,2019-08-16,Trash - Curbside/Alley Missed Pickup,Our whole neighborhood was missed yet again. This is the fourth time in the past year.,"101 Aileen Ct, Antioch, TN 37013, USA",37013,RED RIVER,4502,28.0,1774968.45973937,636824.626424893,101 AILEEN CT,2019-08-16,True,2,2019-08-16,2,200,True
208632,2019-07-01,Trash - Backdoor,miss,"101 Barry Dr, Nashville, TN 37115, United States",37115,RED RIVER,3312,7.0,1756640.59819186,697246.397992388,101 BARRY DR,2019-07-01,True,2,2019-07-01,2,200,True
99666,2018-09-17,Trash - Curbside/Alley Missed Pickup,miss,"101 Guill Ct, Nashville, TN 37214, United States",37214,RED RIVER,1505,14.0,1774913.79824471,670081.600818384,101 GUILL CT,2018-09-17,True,2,2018-09-17,2,200,True
41706,2018-01-24,Trash - Backdoor,Backdoor/Trash pickup was missed,101 JOCELYN HILLS RD,37205,RED RIVER,1304,23.0,1702985.56692788,644505.918516104,101 JOCELYN HILLS RD,2018-01-24,True,2,2018-01-24,2,200,True
56880,2018-03-28,Trash - Backdoor,Backdoor/Trash miss for Wednesday. Please emptied cart.,101 JOCELYN HILLS RD,37205,RED RIVER,1304,23.0,1702985.56692788,644505.918516104,101 JOCELYN HILLS RD,2018-03-28,True,3,2018-03-28,3,200,True
92346,2018-08-23,Trash - Backdoor,Backdoor/Trash miss for Wednesday. Please emptied cart.,101 JOCELYN HILLS RD,37205,RED RIVER,1304,23.0,1702985.56692788,644505.918516104,101 JOCELYN HILLS RD,2018-08-23,True,4,2018-08-23,4,200,True
151063,2019-03-07,Trash - Backdoor,Backdoor/Trash miss for Wednesday. Please emptied cart.,"101 JOCELYN HILLS RD, 37205",37205,RED RIVER,1304,23.0,1702986.60133639,644503.201735139,101 JOCELYN HILLS RD,2019-03-07,True,5,2019-03-07,5,200,True
195405,2019-06-06,Trash - Backdoor,Backdoor/Trash miss for Wednesday. Please emptied cart.,"101 JOCELYN HILLS RD, 37205",37205,RED RIVER,1304,23.0,1702986.60133639,644503.201735139,101 JOCELYN HILLS RD,2019-06-06,True,6,2019-06-06,6,200,True
199185,2019-06-13,Trash - Backdoor,Backdoor/Trash miss for Wednesday. Please empty cart.,"101 JOCELYN HILLS RD, 37205",37205,RED RIVER,1304,23.0,1702986.60133639,644503.201735139,101 JOCELYN HILLS RD,2019-06-13,True,7,2019-06-13,7,200,True
202592,2019-06-20,Trash - Backdoor,Backdoor/Trash miss for Wednesday. Please empty cart.,"101 JOCELYN HILLS RD, 37205",37205,RED RIVER,1304,23.0,1702986.60133639,644503.201735139,101 JOCELYN HILLS RD,2019-06-20,True,8,2019-06-20,8,200,True
257479,2019-10-10,Trash - Backdoor,BACKDOOR...MISSED,"101 JOCELYN HILLS RD, 37205",37205,RED RIVER,1304,23.0,1702986.60133639,644503.201735139,101 JOCELYN HILLS RD,2019-10-10,True,9,2019-10-10,9,200,True
52256,2018-03-07,Trash Collection Complaint,Constantly missing our pick up day!!!!!!!!!!!!,101 Westminster Pl,37205,RED RIVER,1303S,23.0,1709016.27996905,643029.686094107,101 WESTMINSTER PL,2018-03-07,True,2,2018-03-07,2,200,True
98238,2018-09-12,Trash - Curbside/Alley Missed Pickup,This is the 5th or 6th time this year that our trash pickup has been skipped.  My husband even watched the truck and assumed he was picking up the trash!  He drove right by them!!! I want my trash picked up TOMORROW!!!  I want to eradicate Red River from being an outsource option for trash pick up.  I want to report this to my state representative!  This is beyond ridiculous!!!  My husband and I want a MANAGER to contact us first thing in the morning.  6159570502 or 6158382709.  Thank you.,"101 WESTMINSTER PL, 37205",37205,RED RIVER,1303S,23.0,1709017.75122468,643027.190645094,101 WESTMINSTER PL,2018-09-12,True,3,2018-09-12,3,200,True
227846,2019-08-08,Trash - Curbside/Alley Missed Pickup,Recycle carts were emptied but no garbage pickup,"101 Westminster Pl, Nashville, TN 37205, United States",37205,RED RIVER,1303S,23.0,1709017.75122468,643027.190645094,101 WESTMINSTER PL,2019-08-08,True,4,2019-08-08,4,200,True
235821,2019-08-22,Trash - Curbside/Alley Missed Pickup,Third time within the last two months...help get the problem solved,"101 Westminster Pl, Nashville, TN 37205, United States",37205,RED RIVER,1303S,23.0,1709017.75122468,643027.190645094,101 WESTMINSTER PL,2019-08-22,True,5,2019-08-22,5,200,True
263416,2019-10-24,Trash - Curbside/Alley Missed Pickup,This problem continues,"101 Westminster Pl, Nashville, TN 37205, United States",37205,RED RIVER,1303S,23.0,1709017.75122468,643027.190645094,101 WESTMINSTER PL,2019-10-24,True,6,2019-10-24,6,200,True
32130,2017-12-07,Trash - Curbside/Alley Missed Pickup,MISSED TRASH CHECK FOR OTHERS ALSO MISSED CURB. 12 condos all may have been missed,101 Westover Park Ct,37215,RED RIVER,3305S,25.0,1729295.48572431,644211.602900968,101 WESTOVER PARK CT,2017-12-07,True,2,2017-12-07,2,200,True
33360,2017-12-14,Trash - Curbside/Alley Missed Pickup,MISSED TRASH CHECK FOR OTHERS CURB. All 12 condos have been missed.,101 Westover Park Ct,37215,RED RIVER,3305S,25.0,1729295.48572431,644211.602900962,101 WESTOVER PARK CT,2017-12-14,True,3,2017-12-14,3,200,True
35407,2017-12-27,Trash - Curbside/Alley Missed Pickup,2nd time this month All 12 condos have been missed.,101 Westover Park Ct,37215,RED RIVER,3305S,25.0,1729294.5069447,644214.387861541,101 WESTOVER PARK CT,2017-12-27,True,4,2017-12-27,4,200,True
36665,2018-01-03,Trash Collection Complaint,Missed over and over again. Would like a solution to the problem.,101 Westover Park Ct,37215,RED RIVER,3305S,25.0,1729294.5069447,644214.387861541,101 WESTOVER PARK CT,2018-01-03,True,5,2018-01-03,5,200,True
184985,2019-05-16,Trash Collection Complaint,"Missed over and over again. Would like a solution to the problem.
No one pickup for TRASH {Wednesday}. Court",101 Westover Park Ct,37215,RED RIVER,3305S,25.0,1729295.52032268,644211.602044171,101 WESTOVER PARK CT,2019-05-16,True,6,2019-05-16,6,200,True
106842,2018-10-05,Trash - Curbside/Alley Missed Pickup,Missed,"1013 DOVE CREEK CT, 37013",37013,RED RIVER,3503,33.0,1791428.73912745,633382.078472747,1013 DOVE CREEK CT,2018-10-05,True,2,2018-10-05,2,200,True
137247,2019-02-04,Trash - Curbside/Alley Missed Pickup,trash/culdesac {curb} everyone missed. Last Friday.,"1013 DOVE CREEK CT, 37013",37013,RED RIVER,3503,33.0,1791428.73912745,633382.078472747,1013 DOVE CREEK CT,2019-02-04,True,3,2019-02-04,3,200,True
182394,2019-05-10,Trash Collection Complaint,"3 weeks no trash/service curb {Thursday} everything bagged.
will fix one week, and then for 2 or 3 weeks will be missed. Why?","1013 Pewter Ct, Nashville, TN 37115, United States",37115,RED RIVER,3412,8.0,1756509.74885338,706551.998803307,1013 PEWTER CT,2019-05-10,True,2,2019-05-10,2,200,True
197978,2019-06-11,Trash - Curbside/Alley Missed Pickup,2 weeks no trash/service curb {Thursday},"1013 Pewter Ct, Nashville, TN 37115, United States",37115,RED RIVER,3412,8.0,1756509.74885338,706551.998803307,1013 PEWTER CT,2019-06-11,True,3,2019-06-11,3,200,True
153411,2019-03-12,Trash - Curbside/Alley Missed Pickup,This has happened multiple times for our entire street.,"1016 ALICE ST, 37218",37218,RED RIVER,3202,2.0,1729194.48440901,681611.173736292,1016 ALICE ST,2019-03-12,True,2,2019-03-12,2,200,True
178870,2019-05-03,Trash - Backdoor,1 cart,"1016 Battery Ln, Nashville, TN 37220, United States",37220,RED RIVER,3302,25.0,1734100.20030795,639959.201366379,1016 BATTERY LN,2019-05-03,True,2,2019-05-03,2,200,True
206870,2019-06-27,Trash - Curbside/Alley Missed Pickup,missed last week also,"1016 Battery Ln, Nashville, TN 37220, United States",37220,RED RIVER,3302,25.0,1734100.20030795,639959.201366379,1016 BATTERY LN,2019-06-27,True,3,2019-06-27,3,200,True
217611,2019-07-19,Trash - Backdoor,PAID BACKDOOR- MISSED..WANTS TRASH PICKED UP TODAY.,"1016 Battery Ln, Nashville, TN 37220, United States",37220,RED RIVER,3302,25.0,1734100.20030795,639959.201366379,1016 BATTERY LN,2019-07-19,True,4,2019-07-19,4,200,True
249780,2019-09-20,Trash - Curbside/Alley Missed Pickup,Missed trash pickup 2 weeks in a row,"1016 Summercrest Ct, Nashville, TN 37013, United States",37013,RED RIVER,4510,32.0,1785112.3215742,623407.362580899,1016 SUMMERCREST CT,2019-09-20,True,2,2019-09-20,2,200,True
204392,2019-06-24,Trash - Curbside/Alley Missed Pickup,Trash wasn?t picked up at scheduled date last Tuesday our trash has been setting out there  since. This is the second time this has happened,"1017 Saunders Ave, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1753621.79886135,699518.600010097,1017 SAUNDERS AVE,2019-06-24,True,2,2019-06-24,2,200,True
245642,2019-09-11,Trash - Curbside/Alley Missed Pickup,Trash was not picked up on scheduled day it was out by 7:00 am my whole block wasn?t picked up,"1017 Saunders Ave, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1753621.79886135,699518.600010097,1017 SAUNDERS AVE,2019-09-11,True,3,2019-09-11,3,200,True
251817,2019-09-26,Trash - Curbside/Alley Missed Pickup,This missed trash pick up happens often. No one on my block trash was picked up. This just happened to weeks ago and it took a week for the trash to be picked up after filing a report.,"1017 Saunders Ave, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1753621.79886135,699518.600010097,1017 SAUNDERS AVE,2019-09-26,True,4,2019-09-26,4,200,True
264458,2019-10-25,Trash - Curbside/Alley Missed Pickup,Our trash on my block is forgotten weekly ...they pick up certain houses in certain days mine was not picked up at all this week again .,"1017 Saunders Ave, Madison, TN 37115, United States",37115,RED RIVER,3214,8.0,1753621.79886135,699518.600010097,1017 SAUNDERS AVE,2019-10-25,True,5,2019-10-25,5,200,True
64553,2018-05-02,Trash - Backdoor,Backdoor trash Missed,1017 W TRINITY LN,37218,RED RIVER,3202,2.0,1728458.73335804,682772.903534521,1017 W TRINITY LN,2018-05-02,True,2,2018-05-02,2,200,True
136034,2019-01-30,Trash - Backdoor,"Backdoor trash Missed, Tuesday",1017 W TRINITY LN,37218,RED RIVER,3202,2.0,1728460.20143186,682770.399162165,1017 W TRINITY LN,2019-01-30,True,3,2019-01-30,3,200,True
138649,2019-02-06,Trash - Backdoor,"Backdoor trash Missed, Tuesday",1017 W TRINITY LN,37218,RED RIVER,3202,2.0,1728460.20143186,682770.399162165,1017 W TRINITY LN,2019-02-06,True,4,2019-02-06,4,200,True
144322,2019-02-20,Trash - Backdoor,"Backdoor trash Missed, Tuesday",1017 W TRINITY LN,37218,RED RIVER,3202,2.0,1728460.20143186,682770.399162165,1017 W TRINITY LN,2019-02-20,True,5,2019-02-20,5,200,True
150641,2019-03-06,Trash - Backdoor,1 cart,"1017 W Trinity Ln, Nashville, TN 37218, United States",37218,RED RIVER,3202,2.0,1728460.20143186,682770.399162165,1017 W TRINITY LN,2019-03-06,True,6,2019-03-06,6,200,True
174299,2019-04-24,Trash - Backdoor,Trash missed again,"1017 W Trinity Ln, Nashville, TN 37218, United States",37218,RED RIVER,3202,2.0,1728460.20143186,682770.399162165,1017 W TRINITY LN,2019-04-24,True,7,2019-04-24,7,200,True
220928,2019-07-26,Trash - Curbside/Alley Missed Pickup,MISSED...ENTIRE STREET MISSED,"1017 Woodvale Dr, Nashville, TN 37204, United States",37204,RED RIVER,3302,25.0,1734746.60122438,644662.400741261,1017 WOODVALE DR,2019-07-26,True,2,2019-07-26,2,200,True
240499,2019-08-30,Trash - Curbside/Alley Missed Pickup,MISSED- WEDNESDAY PICK UP,"1018 E Old Hickory Blvd, Nashville, TN 37115, United States",37115,RED RIVER,3314,9.0,1766269.9990247,702966.398059439,1018 E OLD HICKORY BLVD,2019-08-30,True,2,2019-08-30,2,200,True
71737,2018-06-01,Trash - Backdoor,MISSED- backdoor pickup,1018 GRAYBAR LN,37204,RED RIVER,4305,25.0,1734953.13478991,647411.097556589,1018 GRAYBAR LN,2018-06-01,True,2,2018-06-01,2,200,True
109067,2018-10-12,Trash - Curbside/Alley Missed Pickup,Looks like they missed a few n neighborhood,"102 Graeme Dr, Nashville, TN 37214, United States",37214,RED RIVER,1504,15.0,1761400.51570257,670380.472997635,102 GRAEME DR,2018-10-12,True,2,2018-10-12,2,200,True
256059,2019-10-07,Trash - Curbside/Alley Missed Pickup,MISSED EVERYONE- ALL CARTS ARE STILL OUT,"102 Okee Trail, Nashville, TN 37013, United States",37013,RED RIVER,4501,28.0,1774108.83746104,635400.765957104,102 OKEE TRAIL,2019-10-07,True,2,2019-10-07,2,200,True
161029,2019-03-28,Trash - Curbside/Alley Missed Pickup,"Missed trash...OTHERS ON STREET MISSED.,",1021 alice st,37218,RED RIVER,3202,2.0,1729053.00174822,681682.398795172,1021 ALICE ST,2019-03-28,True,2,2019-03-28,2,200,True
156833,2019-03-20,Trash - Curbside/Alley Missed Pickup,Missed- trash missed all at the {dead end part} Tuesday missed Curb  {also some construction going on maybe block?,"1023 Alice St, Nashville, TN 37218, United States",37218,RED RIVER,3202,2.0,1729005.00103364,681667.19995402,1023 ALICE ST,2019-03-20,True,2,2019-03-20,2,200,True
177934,2019-05-02,Trash - Backdoor,miss,"103 Alton Rd, Nashville, TN 37205, United States",37205,RED RIVER,1302,34.0,1709600.20065728,641492.800254112,103 ALTON RD,2019-05-02,True,2,2019-05-02,2,200,True
195262,2019-06-05,Trash - Backdoor,BACKDOOR MISS,"103 Alton Rd, Nashville, TN 37205, United States",37205,RED RIVER,1302,34.0,1709600.20065728,641492.800254112,103 ALTON RD,2019-06-05,True,3,2019-06-05,3,200,True
231933,2019-08-15,Trash Collection Complaint,"Missed Backdoor/trash for Wednesday, has backdoor/service and guy placed cart in wrong area, just put back where it belongs and where they picked up. She makes it easy for them just to pull the one bag out.","103 Alton Rd, Nashville, TN 37205, United States",37205,RED RIVER,1302,34.0,1709600.20065728,641492.800254112,103 ALTON RD,2019-08-15,True,4,2019-08-15,4,200,True
261506,2019-10-18,Trash - Backdoor,missed,"103 Alton Rd, Nashville, TN 37205, United States",37205,RED RIVER,1302,34.0,1709600.20065728,641492.800254112,103 ALTON RD,2019-10-18,True,5,2019-10-18,5,200,True
131180,2019-01-14,Trash - Curbside/Alley Missed Pickup,Curbside/Trash missed last Friday.,"103 Blue Hills Ct, Nashville, TN 37214, United States",37214,RED RIVER,1503,15.0,1765617.18891071,670544.675730876,103 BLUE HILLS CT,2019-01-14,True,2,2019-01-14,2,200,True
129937,2019-01-10,Trash - Curbside/Alley Missed Pickup,Missed. other homes were also missed on this street,103 Savoy Cir,37205,RED RIVER,2304S,24.0,1725167.38169756,654656.811212719,103 SAVOY CIR,2019-01-10,True,2,2019-01-10,2,200,True
138968,2019-02-07,Trash - Curbside/Alley Missed Pickup,Trash/Alley missed Wednesday. Tired of getting missed and having to call in.,103 Savoy Cir,37205,RED RIVER,2304S,24.0,1725167.38169756,654656.811212719,103 SAVOY CIR,2019-02-07,True,3,2019-02-07,3,200,True
196084,2019-06-06,Trash - Backdoor,Trash pick up was missed on Wednesday.,"1036 Percy Warner Blvd, Nashville, TN 37205, United States",37205,RED RIVER,1303,23.0,1709273.02883152,642092.484669981,1036 PERCY WARNER BLVD,2019-06-06,True,2,2019-06-06,2,200,True
257386,2019-10-10,Trash - Backdoor,Trash pick up was missed on our regular pick up day,"1036 Percy Warner Blvd, Nashville, TN 37205, United States",37205,RED RIVER,1303,23.0,1709273.02883152,642092.484669981,1036 PERCY WARNER BLVD,2019-10-10,True,3,2019-10-10,3,200,True
150277,2019-03-05,Trash - Curbside/Alley Missed Pickup,missed the street,1036 Regents Park Cir,37013,RED RIVER,4502,28.0,1771725.89622367,636376.21851951,1036 REGENTS PARK CIR,2019-03-05,True,2,2019-03-05,2,200,True
266274,2019-10-31,Trash - Curbside/Alley Missed Pickup,entire complex not picked up for trash collection/ untits 100-105,"104 Braxton Hill Ct, Nashville, TN 37204, United States",37204,RED RIVER,3302S,25.0,1733943.56577236,640908.983499641,104 BRAXTON HILL CT,2019-10-31,True,2,2019-10-31,2,200,True
235658,2019-08-21,Trash - Curbside/Alley Missed Pickup,Curb trash/missed Tuesday,"104 E Marthona Rd, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1754010.91175268,703336.720663619,104 E MARTHONA RD,2019-08-21,True,2,2019-08-21,2,200,True
240495,2019-08-30,Trash - Curbside/Alley Missed Pickup,missed again,"104 E Marthona Rd, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1754010.91175268,703336.720663619,104 E MARTHONA RD,2019-08-30,True,3,2019-08-30,3,200,True
245632,2019-09-11,Trash - Curbside/Alley Missed Pickup,Tuesday/missed Trash curb,"104 E Marthona Rd, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1754010.91175268,703336.720663619,104 E MARTHONA RD,2019-09-11,True,4,2019-09-11,4,200,True
248514,2019-09-18,Trash - Curbside/Alley Missed Pickup,missed every week,"104 E Marthona Rd, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1754010.91175268,703336.720663619,104 E MARTHONA RD,2019-09-18,True,5,2019-09-18,5,200,True
195245,2019-06-05,Trash - Backdoor,BACKDOOR MISS,"104 Emma Neuhoff Ct, Nashville, TN 37205, United States",37205,RED RIVER,1303,23.0,1706248.50891128,640042.279526223,104 EMMA NEUHOFF CT,2019-06-05,True,2,2019-06-05,2,200,True
220613,2019-07-25,Trash - Backdoor,"Front door/trash pickup missed, often wants cart emptied asap.","104 Emma Neuhoff Ct, Nashville, TN 37205, United States",37205,RED RIVER,1303,23.0,1706248.50891128,640042.279526223,104 EMMA NEUHOFF CT,2019-07-25,True,3,2019-07-25,3,200,True
266435,2019-10-31,Trash - Backdoor,BACKDOOR TRASH MISSED HERE,"104 Emma Neuhoff Ct, Nashville, TN 37205, United States",37205,RED RIVER,1303,23.0,1706248.50891128,640042.279526223,104 EMMA NEUHOFF CT,2019-10-31,True,4,2019-10-31,4,200,True
199957,2019-06-14,Trash - Curbside/Alley Missed Pickup,Curb trash/missed Thursday,"104 Panamint Dr, Nashville, TN 37013, United States",37013,RED RIVER,3404,30.0,1765344.99885818,629064.000834056,104 PANAMINT DR,2019-06-14,True,2,2019-06-14,2,200,True
185762,2019-05-17,Trash - Curbside/Alley Missed Pickup,"This request is tied to request 00185587 which was closed due to ""not being able to put a request in for a whole street."" I entered my address: 1042 Granbery Park Drive, which resolves in this systems mapping system as ""Granbery Park Drive"" with no house number associated to it. In the details I mentioned that this problem with trash pick up was tied to my residence and my street. I am turning it in again for one single residence: 1042 Granbery Park Drive and for the convenience of my neighbors, letting the service know the entire street was missed.","1042 GRANBERY PARK DR, 37027",37027,RED RIVER,2401,4.0,1744887.89095388,624115.447324326,1042 GRANBERY PARK DR,2019-05-17,True,2,2019-05-17,2,200,True
196093,2019-06-06,Trash - Curbside/Alley Missed Pickup,"specific address is 1042 Granbery Park Drive. Our scheduled Trash day is Thursday. My home and the entire street were missed again. Lack of trash pick up on the scheduled day is a regular problem,  please confirm this street is on a route.","1042 Granbery Park Dr, Nashville, TN 37027, United States",37027,RED RIVER,2401,4.0,1744971.67670972,624215.493950263,1042 GRANBERY PARK DR,2019-06-06,True,3,2019-06-06,3,200,True
192294,2019-05-30,Trash - Curbside/Alley Missed Pickup,Entire street not serviced,"1046 Granbery Park Dr, Nashville, TN 37027, United States",37027,RED RIVER,2401,4.0,1744832.55300418,624011.281539154,1046 GRANBERY PARK DR,2019-05-30,True,2,2019-05-30,2,200,True
146166,2019-02-24,Trash - Backdoor,"This is the third week  out of four that our trash was not picked up.  We called and Red River got it  before, but this time it has been six days and we have run out of space","105 Clydelan Ct, Nashville, TN 37205, United States",37205,RED RIVER,1302,34.0,1710418.60116613,640144.001545112,105 CLYDELAN CT,2019-02-24,True,2,2019-02-24,2,200,True
171259,2019-04-18,Trash - Backdoor,Backdoor/Trash miss pickup Wednesday. {Being missed every week} upset wants this matter corrected. Pickup her backdoor/trash on day off.,"105 Clydelan Ct, Nashville, TN 37205, United States",37205,RED RIVER,1302,34.0,1710418.60116613,640144.001545112,105 CLYDELAN CT,2019-04-18,True,3,2019-04-18,3,200,True
